sample_id,loc_c,category,n_cases,n_pass
s01_sum,16,pass,4,4
s02_gcd,19,pass,4,4
s03_factorial,14,pass,4,4
s04_fibonacci,16,pass,4,4
s05_count_primes,22,pass,4,4
s06_reverse_string,19,pass,4,4
s07_bubble_sort,26,pass,4,4
s08_binary_search,22,pass,3,3
s09_djb2_hash,17,pass,3,3
s10_caesar_cipher,23,pass,3,3
s11_collatz,17,pass,4,4
s12_matrix_mult,36,pass,2,2
s13_word_count,19,pass,4,4
s14_fnv_hash,17,pass,3,3
s15_float_avg,17,functional_error,4,3
s16_rle_encode,22,pass,3,3
s17_determinant,35,pass,4,4
s18_expr_eval,88,pass,6,6
s19_global_counter,21,pass,3,3
